Status,Time,Pitch,Yaw,Roll,Xmin,Ymin,Xmax,Ymax
Pose,19:20:22,15.84,-2.82,-6.77,0.4834,0.5371,0.7676,0.9258
Pose,19:20:22,14.72,-1.84,-9.55,0.4849,0.5376,0.7671,0.9282
Pose,19:20:22,11.31,-1.17,-5.96,0.4854,0.5366,0.7676,0.9263
Pose,19:20:22,13.12,-6.20,-5.90,0.4846,0.5376,0.7695,0.9272
Pose,19:20:22,9.10,-4.92,-5.71,0.4854,0.5366,0.7715,0.9292
Pose,19:20:22,5.78,-8.97,-5.45,0.4858,0.5371,0.7720,0.9219
Pose,19:20:22,3.94,-7.47,-5.34,0.4858,0.5391,0.7690,0.9258
Pose,19:20:22,2.53,-8.05,-4.41,0.4868,0.5347,0.7710,0.9263
Pose,19:20:22,5.57,-7.14,-4.93,0.4858,0.5356,0.7720,0.9282
Pose,19:20:22,5.40,-7.73,-4.85,0.4858,0.5352,0.7729,0.9277
Pose,19:20:22,2.72,-6.61,-5.42,0.4873,0.5342,0.7725,0.9277
Pose,19:20:22,-4.20,-7.67,-5.96,0.4893,0.5361,0.7744,0.9287
Pose,19:20:22,3.38,-9.03,-5.59,0.4878,0.5376,0.7729,0.9253
Pose,19:20:22,2.01,-9.66,-6.59,0.4871,0.5381,0.7734,0.9277
Pose,19:20:22,-0.54,-10.32,-7.14,0.4871,0.5371,0.7744,0.9297
Pose,19:20:22,-4.90,-8.39,-5.59,0.4888,0.5376,0.7749,0.9292
Pose,19:20:22,0.06,-8.15,-5.73,0.4888,0.5381,0.7759,0.9297
Pose,19:20:22,4.07,-10.39,-6.93,0.4883,0.5356,0.7764,0.9331
Pose,19:20:22,-1.16,-12.04,-8.47,0.4880,0.5342,0.7773,0.9336
Pose,19:20:22,-7.49,-10.27,-8.33,0.4890,0.5376,0.7773,0.9302
Pose,19:20:22,-6.07,-11.32,-7.36,0.4902,0.5352,0.7764,0.9307
Pose,19:20:22,-3.14,-9.14,-7.64,0.4895,0.5386,0.7773,0.9321
Pose,19:20:22,-2.38,-11.69,-8.48,0.4873,0.5356,0.7773,0.9331
Pose,19:20:22,-10.43,-11.77,-7.97,0.4893,0.5352,0.7764,0.9307
